name,address,rating,review_count,latitude,longitude,type,place_id,business_status,current_opening_hours,editorial_summary,international_phone_number,price_level,reservable,secondary_opening_hours,url,website
Vabali,"Seydlitzstraße 6, 10557 Berlin, Germany",4.7,11948,52.5286536,13.3592849,sauna,ChIJjfrdZphRqEcRT6O7Rn8rVLI,OPERATIONAL,"['Monday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 9:00\u202fAM\u2009–\u200912:00\u202fAM']","Treatments are available at this Bali-style spa facility with 2-hour, 4-hour & day tickets.",+49 30 9114860,N/A,N/A,N/A,https://maps.google.com/?cid=12849943462442410831,https://www.vabali.de/berlin/
KIEZ SAUNA - The sauna in Berlin-Friedrichshain,"Graudenzer Str. 19, 10243 Berlin, Germany",4.3,439,52.5150969,13.448653,sauna,ChIJAz5cv0JOqEcRUolqyMHNAVc,OPERATIONAL,"['Monday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 3:00\u202fPM\u2009–\u200912:00\u202fAM']",N/A,+49 30 29774040,N/A,N/A,N/A,https://maps.google.com/?cid=6269518388451248466,http://www.kiezsauna.de/
Liquidrom,"Möckernstraße 10, 10963 Berlin, Germany",4.2,3426,52.50158030000001,13.3811599,sauna,ChIJM60oqdJRqEcRy8_3DSb5_JI,OPERATIONAL,"['Monday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u20091:00\u202fAM', 'Sunday: 9:00\u202fAM\u2009–\u200912:00\u202fAM']","Cool spa in building resembling a circus tent, with multiple pools, saunas & underwater music.",N/A,N/A,N/A,N/A,https://maps.google.com/?cid=10591614365506981835,https://www.liquidrom-berlin.de/
Saunabad Berlin Prenzlauer Berg,"Rykestraße 10, 10405 Berlin, Germany",4.1,202,52.5357614,13.420231,sauna,ChIJK8TA4QNOqEcRY5JwoVOwVIk,OPERATIONAL,"['Monday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: 3:00\u202fPM\u2009–\u200912:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u200912:00\u202fAM']",N/A,+49 30 44046397,N/A,N/A,N/A,https://maps.google.com/?cid=9895728154477105763,http://www.saunabad-berlin.de/
BOILER Sauna Berlin,"Mehringdamm 34, 10961 Berlin, Germany",4.1,726,52.49363349999999,13.3877998,sauna,ChIJHbqEHilQqEcRmT3xwmU_M74,OPERATIONAL,"['Monday: 12:00\u2009–\u20096:00\u202fAM, 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Tuesday: 12:00\u2009–\u20096:00\u202fAM, 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Wednesday: 12:00\u2009–\u20096:00\u202fAM, 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Thursday: 12:00\u2009–\u20096:00\u202fAM, 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Friday: 12:00\u2009–\u20096:00\u202fAM, 12:00\u202fPM\u2009–\u200912:00\u202fAM', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']","Neon-lit, industrial-chic complex with a hot tub, saunas & steam rooms, plus a bar with a garden.",+49 30 57707175,N/A,N/A,N/A,https://maps.google.com/?cid=13705367797313387929,http://boiler-berlin.de/
SAUNARIVM - your wellness temple,"Breite Str. 22B, 13187 Berlin, Germany",4.5,296,52.5701189,13.4021282,sauna,ChIJozaL_BZOqEcRtBbk6lMcKZw,OPERATIONAL,N/A,N/A,+49 30 49760714,N/A,N/A,N/A,https://maps.google.com/?cid=11252556290710574772,http://www.saunarivm.de/
MyWellness Berlin Wilmersdorf,"Kurfürstendamm 146, 10709 Berlin, Germany",4.5,1601,52.4982049,13.2990478,sauna,ChIJHW9hLmJRqEcRF4FrnaUDL00,OPERATIONAL,"['Monday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 9:00\u202fAM\u2009–\u200912:00\u202fAM']",N/A,+49 231 55030039,N/A,N/A,"[{'open_now': True, 'periods': [{'close': {'date': '2024-09-09', 'day': 1, 'time': '0000'}, 'open': {'date': '2024-09-08', 'day': 0, 'time': '0900'}}, {'close': {'date': '2024-09-10', 'day': 2, 'time': '0000'}, 'open': {'date': '2024-09-09', 'day': 1, 'time': '0900'}}, {'close': {'date': '2024-09-11', 'day': 3, 'time': '0000'}, 'open': {'date': '2024-09-10', 'day': 2, 'time': '0900'}}, {'close': {'date': '2024-09-12', 'day': 4, 'time': '0000'}, 'open': {'date': '2024-09-11', 'day': 3, 'time': '0900'}}, {'close': {'date': '2024-09-12', 'day': 4, 'time': '2359', 'truncated': True}, 'open': {'date': '2024-09-12', 'day': 4, 'time': '0900'}}, {'close': {'date': '2024-09-07', 'day': 6, 'time': '0000'}, 'open': {'date': '2024-09-06', 'day': 5, 'time': '0900'}}, {'close': {'date': '2024-09-08', 'day': 0, 'time': '0000'}, 'open': {'date': '2024-09-07', 'day': 6, 'time': '0900'}}], 'type': 'ACCESS', 'weekday_text': ['Monday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 9:00\u202fAM\u2009–\u200912:00\u202fAM']}, {'open_now': True, 'periods': [{'close': {'date': '2024-09-09', 'day': 1, 'time': '0000'}, 'open': {'date': '2024-09-08', 'day': 0, 'time': '0900'}}, {'close': {'date': '2024-09-10', 'day': 2, 'time': '0000'}, 'open': {'date': '2024-09-09', 'day': 1, 'time': '0900'}}, {'close': {'date': '2024-09-11', 'day': 3, 'time': '0000'}, 'open': {'date': '2024-09-10', 'day': 2, 'time': '0900'}}, {'close': {'date': '2024-09-12', 'day': 4, 'time': '0000'}, 'open': {'date': '2024-09-11', 'day': 3, 'time': '0900'}}, {'close': {'date': '2024-09-12', 'day': 4, 'time': '2359', 'truncated': True}, 'open': {'date': '2024-09-12', 'day': 4, 'time': '0900'}}, {'close': {'date': '2024-09-07', 'day': 6, 'time': '0000'}, 'open': {'date': '2024-09-06', 'day': 5, 'time': '0900'}}, {'close': {'date': '2024-09-08', 'day': 0, 'time': '0000'}, 'open': {'date': '2024-09-07', 'day': 6, 'time': '0900'}}], 'type': 'KITCHEN', 'weekday_text': ['Monday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Friday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 9:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 9:00\u202fAM\u2009–\u200912:00\u202fAM']}, {'open_now': True, 'periods': [{'close': {'date': '2024-09-12', 'day': 4, 'time': '2359', 'truncated': True}, 'open': {'date': '2024-09-06', 'day': 5, 'time': '0000', 'truncated': True}}], 'type': 'ONLINE_SERVICE_HOURS', 'weekday_text': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']}]",https://maps.google.com/?cid=5561668074671407383,https://mywellness.de/berlin/?utm_source=GMB&utm_medium=Yext
Lützow Sauna,"Lützowstraße 106, 10785 Berlin, Germany",4.5,114,52.5020244,13.3695479,sauna,ChIJdWJwDjVQqEcRymhI9qv5YhQ,OPERATIONAL,"['Monday: 6:00\u2009–\u200910:00\u202fPM', 'Tuesday: Closed', 'Wednesday: 4:00\u2009–\u200910:00\u202fPM', 'Thursday: Closed', 'Friday: 4:00\u2009–\u200910:00\u202fPM', 'Saturday: Closed', 'Sunday: 4:00\u2009–\u200910:00\u202fPM']",N/A,+49 30 2622827,N/A,N/A,N/A,https://maps.google.com/?cid=1469010945442867402,http://www.luetzow-sauna.de/
Gewölbe-Sauna,"Fröbelstraße 17, 10405 Berlin, Germany",4,332,52.5409532,13.4259317,sauna,ChIJ1VR_h_1NqEcRzArowYXfX7Y,OPERATIONAL,"['Monday: 3:00\u2009–\u200911:00\u202fPM', 'Tuesday: 3:00\u2009–\u200911:00\u202fPM', 'Wednesday: 3:00\u2009–\u200911:00\u202fPM', 'Thursday: 3:00\u2009–\u200911:00\u202fPM', 'Friday: 3:00\u2009–\u200911:00\u202fPM', 'Saturday: 3:00\u2009–\u20099:00\u202fPM', 'Sunday: 3:00\u2009–\u20099:00\u202fPM']",N/A,+49 30 4232827,N/A,N/A,N/A,https://maps.google.com/?cid=13141468003267250892,http://www.gewoelbe-sauna.de/
Sultan Hamam Berlin,"Bülowstraße 56-57, 10783 Berlin, Germany",4.4,1180,52.4952468,13.3677644,sauna,ChIJtahaqDdQqEcR1zFN5uV9BVQ,OPERATIONAL,"['Monday: 3:00\u2009–\u200910:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u200910:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u200910:00\u202fPM']",N/A,+49 30 21753375,N/A,N/A,"[{'open_now': True, 'periods': [{'close': {'date': '2024-09-12', 'day': 4, 'time': '2359', 'truncated': True}, 'open': {'date': '2024-09-06', 'day': 5, 'time': '0000', 'truncated': True}}], 'type': 'ONLINE_SERVICE_HOURS', 'weekday_text': ['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']}]",https://maps.google.com/?cid=6054383700434301399,https://sultanhamam.de/
